scraped_at,retailer,style_id,cc_id,web_product_type,title,gender,color_raw,product_type_raw,material_raw,graphical_appearance_raw,color_master_id,color_spectrum_id,gender_id,product_type_id,product_group_id,material_id,graphical_appearance_id
2026-05-10,american_eagle,0366_6455_807,0366_6455_807,,AE Double Take Tube Top,women,Orange Flare,Top,cotton,Solid,11,0,1,5,1,1,1
2026-05-10,american_eagle,0461_5897_597,0461_5897_597,,AE Low-Rise Baggy Cargo Parachute Pant,women,Magenta,Trousers,cotton,Solid,8,0,1,1,2,1,1
2026-05-10,american_eagle,0341_1790_615,0341_1790_615,,AE Cropped Peplum Sweater Tube Top,women,Pink,Sweater,cotton,Solid,8,0,1,3,1,1,1
2026-05-10,american_eagle,0461_5897_610,0461_5897_610,,AE Low-Rise Baggy Cargo Parachute Pant,women,Light Pink,Trousers,cotton,Solid,8,3,1,1,2,1,1
2026-05-10,american_eagle,0366_6455_626,0366_6455_626,,AE Double Take Tube Top,women,Pink Punch,Top,cotton,Solid,8,0,1,5,1,1,1
2026-05-10,american_eagle,0358_7031_650,0358_7031_650,,AE Tie-Front Cami,women,Pink Bath,Vest top,linen,Solid,8,0,1,7,1,12,1
2026-05-10,american_eagle,3331_8987_650,3331_8987_650,,AE Linen-Blend Soft Short,women,Pink Bath,Shorts,linen,Solid,8,0,1,11,2,12,1
2026-05-10,american_eagle,0366_6592_615,0366_6592_615,,AE Daily Fave Tank Top,women,Pink,Vest top,cotton,Solid,8,0,1,7,1,1,1
2026-05-10,american_eagle,2351_6756_139,2351_6756_139,,AE Linen-Blend Bandana Halter Top,women,Fresh White,Top,linen,Solid,3,0,1,5,1,12,1
2026-05-10,american_eagle,0437_6148_936,0437_6148_936,,AE Low-Rise Beachy Baggy Jean,women,Medium Wash,Trousers,denim,Solid,2,5,1,1,2,3,1
2026-05-10,american_eagle,0437_6101_459,0437_6101_459,,AE Dreamy Drape Stretch Super Low-Rise Baggy Flare Jean,women,Floral,Trousers,denim,All over pattern,0,0,1,1,2,3,2
2026-05-10,american_eagle,0341_1792_615,0341_1792_615,,AE One-Shoulder Sweater Tank Top,women,Pink,Sweater,cotton,Solid,8,0,1,3,1,1,1
2026-05-10,american_eagle,0437_6152_915,0437_6152_915,,AE Low-Rise Beachy Baggy Jean,women,Light Wash,Trousers,denim,Solid,2,3,1,1,2,3,1
2026-05-10,american_eagle,0366_6447_102,0366_6447_102,,AE Sunchaser Babydoll Smocked Tank Top,women,Frosty Cream,Vest top,cotton,Solid,3,3,1,7,1,1,1
2026-05-10,american_eagle,0319_5759_102,0319_5759_102,,AE Sunchaser Mid-Rise Flare Pant,women,Frosty Cream,Trousers,cotton,Solid,3,3,1,1,2,1,1
2026-05-10,american_eagle,0437_6147_914,0437_6147_914,,AE Low-Rise Beachy Baggy Jean,women,Medium Vintage,Trousers,denim,Solid,2,5,1,1,2,3,1
2026-05-10,american_eagle,0395_9223_615,0395_9223_615,,AE Sunchaser Tie-Back Mini Dress,women,Pink,Dress,cotton,Solid,8,0,1,2,3,1,1
2026-05-10,american_eagle,0366_6537_106,0366_6537_106,,AE Sunchaser Crochet Babydoll Tube Top,women,Cream,Top,knit,Solid,3,3,1,5,1,6,1
2026-05-10,american_eagle,1331_8797_893,1331_8797_893,,AE Low-Rise Beachy Baggy Short,women,Light Bright Indigo,Bag,cotton,Solid,2,3,1,22,6,1,1
2026-05-10,american_eagle,0341_1790_300,0341_1790_300,,AE Cropped Peplum Sweater Tube Top,women,Green,Sweater,cotton,Solid,5,0,1,3,1,1,1
2026-05-10,american_eagle,1331_8802_471,1331_8802_471,,AE Stretch Super Low-Rise Perfect Shortie,women,Medium Tinted Indigo,Underwear bottom,cotton,Solid,2,5,1,12,5,1,1
2026-05-10,american_eagle,0395_9290_410,0395_9290_410,,AE Halter Keyhole Mini Dress,women,Navy,Dress,cotton,Solid,2,0,1,2,3,1,1
2026-05-10,american_eagle,0395_9221_299,0395_9221_299,,AE Sunchaser Smocked Knit Midi Dress,women,Gatsby Green,Dress,knit,Solid,5,0,1,2,3,6,1
2026-05-10,american_eagle,0366_6587_139,0366_6587_139,,AE Double Take Tube Top,women,Fresh White,Top,cotton,Solid,3,0,1,5,1,1,1
2026-05-10,american_eagle,0461_5897_300,0461_5897_300,,AE Low-Rise Baggy Cargo Parachute Pant,women,Green,Trousers,cotton,Solid,5,0,1,1,2,1,1
2026-05-10,american_eagle,0366_6455_272,0366_6455_272,,AE Double Take Tube Top,women,Rustic Blue,Top,cotton,Solid,7,0,1,5,1,1,1
2026-05-10,american_eagle,0395_9228_300,0395_9228_300,,AE Flutter Sleeve Tie-Front Midi Dress,women,Green,Dress,cotton,Solid,5,0,1,2,3,1,1
2026-05-10,american_eagle,0366_6537_299,0366_6537_299,,AE Sunchaser Crochet Babydoll Tube Top,women,Gatsby Green,Top,knit,Solid,5,0,1,5,1,6,1
2026-05-10,american_eagle,2370_1672_318,2370_1672_318,,AE Hey Baby Tee,women,Green Rush,T-shirt,cotton,Solid,5,0,1,4,1,1,1
2026-05-10,american_eagle,1331_8931_489,1331_8931_489,,AE Stretch Lowest Rise Shortie,women,Medium Vintage Wash,Underwear bottom,cotton,Solid,2,5,1,12,5,1,1
2026-05-10,american_eagle,0313_5627_299,0313_5627_299,,AE It Knit Skort,women,Gatsby Green,Skirt,knit,Solid,5,0,1,13,2,6,1
2026-05-10,american_eagle,1307_1609_272,1307_1609_272,,AE Fitted Cropped Graphic T-Shirt,women,Rustic Blue,T-shirt,cotton,Front print,7,0,1,4,1,1,11
2026-05-10,american_eagle,1331_8854_433,1331_8854_433,,AE Stretch Super Low-Rise Perfect Shortie,women,Light Aglow,Underwear bottom,cotton,Solid,0,3,1,12,5,1,1
