scraped_at,retailer,style_id,cc_id,web_product_type,title,gender,color_raw,product_type_raw,material_raw,graphical_appearance_raw,color_master_id,color_spectrum_id,gender_id,product_type_id,product_group_id,material_id,graphical_appearance_id
2026-05-10,gap,737295,737295072,mens pants,Adult VintageSoft Classic Joggers,men,True black,Trousers,cotton,Solid,1,0,3,1,2,1,1
2026-05-10,gap,737295,737295372,mens pants,Adult VintageSoft Classic Joggers,men,Light heather grey,Trousers,cotton,Melange,6,2,3,1,2,1,4
2026-05-10,gap,737295,737295512,mens pants,Adult VintageSoft Classic Joggers,men,MESCULEN GREEN,Trousers,cotton,Solid,5,0,3,1,2,1,1
2026-05-10,gap,737295,737295502,mens pants,Adult VintageSoft Classic Joggers,men,BAINBRIDGE BLUE,Trousers,cotton,Solid,2,0,3,1,2,1,1
2026-05-10,gap,737295,737295472,mens pants,Adult VintageSoft Classic Joggers,men,ripe olive,Trousers,cotton,Solid,5,0,3,1,2,1,1
2026-05-10,gap,737295,737295492,mens pants,Adult VintageSoft Classic Joggers,men,DEEP HUNTER,Trousers,cotton,Solid,2,1,3,1,2,1,1
2026-05-10,gap,737295,737295482,mens pants,Adult VintageSoft Classic Joggers,men,Heather grey,Trousers,cotton,Melange,6,2,3,1,2,1,4
2026-05-10,gap,737295,737295452,mens pants,Adult VintageSoft Classic Joggers,men,WICKER,Trousers,cotton,Solid,2,0,3,1,2,1,1
2026-05-10,gap,737295,737295442,mens pants,Adult VintageSoft Classic Joggers,men,Ground brown,Trousers,cotton,Solid,9,0,3,1,2,1,1
2026-05-10,gap,737295,780286012,mens pants,Adult VintageSoft Classic Joggers,men,Bedrock beige,Trousers,cotton,Solid,4,0,3,1,2,1,1
2026-05-10,gap,737295,737295122,mens pants,Adult VintageSoft Classic Joggers,men,Tapestry navy blue,Trousers,cotton,Solid,2,0,3,1,2,1,1
2026-05-10,gap,737296,737296612,mens sweatshirts,Adult VintageSoft Relaxed Hoodie,men,Light heather grey,Hoodie,cotton,Melange,6,2,3,19,1,1,4
2026-05-10,gap,737296,737296122,mens sweatshirts,Adult VintageSoft Relaxed Hoodie,men,True black,Hoodie,cotton,Solid,1,0,3,19,1,1,1
2026-05-10,gap,737296,737296952,mens sweatshirts,Adult VintageSoft Relaxed Hoodie,men,MODERN RED,Hoodie,cotton,Solid,7,0,3,19,1,1,1
2026-05-10,gap,737296,737296942,mens sweatshirts,Adult VintageSoft Relaxed Hoodie,men,Heather grey,Hoodie,cotton,Melange,6,2,3,19,1,1,4
2026-05-10,gap,737296,737296892,mens sweatshirts,Adult VintageSoft Relaxed Hoodie,men,WICKER,Hoodie,cotton,Solid,2,0,3,19,1,1,1
2026-05-10,gap,737296,737296042,mens sweatshirts,Adult VintageSoft Relaxed Hoodie,men,Tapestry navy blue,Hoodie,cotton,Solid,2,0,3,19,1,1,1
2026-05-10,gap,709142,709142002,mens jeans,Slim Jeans,men,Resin rinse,Trousers,denim,Solid,2,0,3,1,2,3,1
2026-05-10,gap,709142,706174002,mens jeans,Slim Jeans,men,Rinse,Trousers,denim,Solid,2,0,3,1,2,3,1
2026-05-10,gap,709142,709148002,mens jeans,Slim Jeans,men,New Medium wash,Trousers,denim,Solid,2,5,3,1,2,3,1
2026-05-10,gap,709142,709153002,mens jeans,Slim Jeans,men,Worn dark,Trousers,denim,Solid,0,1,3,1,2,3,1
2026-05-10,gap,709142,819620002,mens jeans,Slim Jeans,men,Light wash,Trousers,denim,Solid,2,3,3,1,2,3,1
2026-05-10,gap,709142,709140002,mens jeans,Slim Jeans,men,Black wash,Trousers,denim,Solid,1,0,3,1,2,3,1
2026-05-10,gap,709142,709155002,mens jeans,Slim Jeans,men,New Light wash,Trousers,denim,Solid,2,3,3,1,2,3,1
2026-05-10,gap,709142,729595002,mens jeans,Slim Jeans,men,Medium wash,Trousers,denim,Solid,2,5,3,1,2,3,1
2026-05-10,gap,524246,524246002,mens jeans,Baggy Jeans,men,Black,Trousers,denim,Solid,1,0,3,1,2,3,1
2026-05-10,gap,524246,673715002,mens jeans,Baggy Jeans,men,Medium wash,Trousers,denim,Solid,2,5,3,1,2,3,1
2026-05-10,gap,524246,803953002,mens jeans,Baggy Jeans,men,Medium Wash,Trousers,denim,Solid,2,5,3,1,2,3,1
2026-05-10,gap,524246,597498002,mens jeans,Baggy Jeans,men,Dark rinse,Trousers,denim,Solid,2,1,3,1,2,3,1
2026-05-10,gap,524246,514098002,mens jeans,Baggy Jeans,men,Dark wash,Trousers,denim,Solid,2,1,3,1,2,3,1
2026-05-10,gap,715036,715036572,mens sweatshirts,Adult VintageSoft Arch Logo Hoodie,men,Black,Hoodie,cotton,Solid,1,0,3,19,1,1,1
2026-05-10,gap,715036,715036782,mens sweatshirts,Adult VintageSoft Arch Logo Hoodie,men,Storm blue,Hoodie,cotton,Solid,2,0,3,19,1,1,1
2026-05-10,gap,715036,715036542,mens sweatshirts,Adult VintageSoft Arch Logo Hoodie,men,Light heather grey,Hoodie,cotton,Melange,6,2,3,19,1,1,4
2026-05-10,gap,715036,715036772,mens sweatshirts,Adult VintageSoft Arch Logo Hoodie,men,hunter green,Hoodie,cotton,Solid,5,0,3,19,1,1,1
2026-05-10,gap,715036,715036532,mens sweatshirts,Adult VintageSoft Arch Logo Hoodie,men,Tapestry navy blue,Hoodie,cotton,Solid,2,0,3,19,1,1,1
2026-05-10,gap,715036,715036552,mens sweatshirts,Adult VintageSoft Arch Logo Hoodie,men,Black combo,Hoodie,cotton,Solid,1,0,3,19,1,1,1
2026-05-10,gap,715036,715036562,mens sweatshirts,Adult VintageSoft Arch Logo Hoodie,men,Off white,Hoodie,cotton,Solid,3,0,3,19,1,1,1
2026-05-10,gap,898964,898964002,mens shorts,"10.5"" Baggy Denim Carpenter Shorts",men,Medium wash,Shorts,denim,Denim,2,5,3,11,2,3,3
2026-05-10,gap,898964,898963002,mens shorts,"10.5"" Baggy Denim Carpenter Shorts",men,Rinse wash,Shorts,denim,Denim,2,0,3,11,2,3,3
2026-05-10,gap,414188,414188082,mens sweatshirts,Adult VintageSoft Relaxed Zip Hoodie,men,Light heather gray,Hoodie,cotton,Melange,6,2,3,19,1,1,4
2026-05-10,gap,414188,780284002,mens sweatshirts,Adult VintageSoft Relaxed Zip Hoodie,men,Tapestry navy blue,Hoodie,cotton,Solid,2,0,3,19,1,1,1
2026-05-10,gap,414188,414188032,mens sweatshirts,Adult VintageSoft Relaxed Zip Hoodie,men,True black,Hoodie,cotton,Solid,1,0,3,19,1,1,1
2026-05-10,gap,787704,619568022,mens shirts,Oxford Shirt in Classic Fit,men,White,Shirt,cotton,Solid,3,0,3,14,1,1,1
2026-05-10,gap,787704,619568012,mens shirts,Oxford Shirt in Classic Fit,men,Light blue,Shirt,cotton,Solid,2,3,3,14,1,1,1
2026-05-10,gap,787704,818576042,mens shirts,Oxford Shirt in Classic Fit,men,Blue stripe,Shirt,cotton,Stripe,2,0,3,14,1,1,5
2026-05-10,gap,787704,619568342,mens shirts,Oxford Shirt in Classic Fit,men,ORCHID,Shirt,cotton,Solid,0,0,3,14,1,1,1
2026-05-10,gap,787704,619568412,mens shirts,Oxford Shirt in Classic Fit,men,DARK BROWN,Shirt,cotton,Solid,9,1,3,14,1,1,1
2026-05-10,gap,787704,619568422,mens shirts,Oxford Shirt in Classic Fit,men,purple,Shirt,cotton,Solid,13,0,3,14,1,1,1
2026-05-10,gap,787704,619568352,mens shirts,Oxford Shirt in Classic Fit,men,OLIVE STRIPE,Shirt,cotton,Stripe,5,0,3,14,1,1,5
2026-05-10,gap,787704,619568392,mens shirts,Oxford Shirt in Classic Fit,men,RED SHADOW PLAID,Shirt,cotton,Check,7,0,3,14,1,1,7
2026-05-10,gap,787704,619568402,mens shirts,Oxford Shirt in Classic Fit,men,BLACK CHECK,Shirt,cotton,Check,1,0,3,14,1,1,7
2026-05-10,gap,787704,619568322,mens shirts,Oxford Shirt in Classic Fit,men,GINSENG BROWN,Shirt,cotton,Solid,9,0,3,14,1,1,1
2026-05-10,gap,787704,619568332,mens shirts,Oxford Shirt in Classic Fit,men,blue plaid,Shirt,cotton,Check,2,0,3,14,1,1,7
