scraped_at,retailer,style_id,cc_id,web_product_type,title,gender,color_raw,product_type_raw,material_raw,graphical_appearance_raw,color_master_id,color_spectrum_id,gender_id,product_type_id,product_group_id,material_id,graphical_appearance_id
2026-05-08,hollister,62872319,KIC_349-6450-00097-380,,Low-Rise Poplin Pop Waistband Mini Shorts,women,Olive Camo,Shorts,cotton,Solid,5,0,1,11,2,1,1
2026-05-08,hollister,62872319,KIC_349-6449-00362-451,,Low-Rise Poplin Pop Waistband Mini Shorts,women,Dark Brown,Shorts,cotton,Solid,9,1,1,11,2,1,1
2026-05-08,hollister,62872319,KIC_349-6452-00095-102,,Low-Rise Poplin Pop Waistband Mini Shorts,women,Stone,Shorts,cotton,Solid,6,0,1,11,2,1,1
2026-05-08,hollister,62872319,KIC_349-6451-00096-131,,Low-Rise Poplin Pop Waistband Mini Shorts,women,Dark Grey,Shorts,cotton,Solid,6,1,1,11,2,1,1
2026-05-08,hollister,62829437,KIC_339-6176-00228-100,,Hollister Callie Reversible Cami,women,White,Vest top,cotton,Solid,3,0,1,7,1,1,1
2026-05-08,hollister,62829437,KIC_339-6172-00227-112,,Hollister Callie Reversible Cami,women,Light Heather Grey,Vest top,cotton,Melange,6,2,1,7,1,1,4
2026-05-08,hollister,62829437,KIC_339-6187-00241-202,,Hollister Callie Reversible Cami,women,Cobalt,Vest top,cotton,Solid,2,0,1,7,1,1,1
2026-05-08,hollister,62829437,KIC_339-6188-00242-800,,Hollister Callie Reversible Cami,women,Butter Yellow,Vest top,cotton,Solid,4,0,1,7,1,1,1
2026-05-08,hollister,62829437,KIC_339-6188-00242-634,,Hollister Callie Reversible Cami,women,Pink Stripe,Vest top,cotton,Stripe,8,0,1,7,1,1,5
2026-05-08,hollister,62829437,KIC_339-6173-00304-908,,Hollister Callie Reversible Cami,women,Black Dot,Vest top,cotton,Dot,1,0,1,7,1,1,10
2026-05-08,hollister,62829437,KIC_357-6277-00085-620,,Hollister Callie Reversible Cami,women,Pink,Vest top,cotton,Solid,8,0,1,7,1,1,1
2026-05-08,hollister,62829437,KIC_357-6277-00085-222,,Hollister Callie Reversible Cami,women,Dark Turquoise,Vest top,cotton,Solid,2,1,1,7,1,1,1
2026-05-08,hollister,62829258,KIC_311-6151-00393-206,,Reversible Pop Binding Triangle Bikini Top,women,Navy Floral,Bikini top,nylon,All over pattern,2,0,1,9,4,28,2
2026-05-08,hollister,62829258,KIC_311-6151-00393-235,,Reversible Pop Binding Triangle Bikini Top,women,Turquoise Stripe,Bikini top,nylon,Stripe,2,0,1,9,4,28,5
2026-05-08,hollister,62829258,KIC_311-6252-00394-625,,Reversible Pop Binding Triangle Bikini Top,women,Pink Stripe,Bikini top,nylon,Stripe,8,0,1,9,4,28,5
2026-05-08,hollister,62829258,KIC_311-6288-00399-104,,Reversible Pop Binding Triangle Bikini Top,women,White Stripe,Bikini top,nylon,Stripe,3,0,1,9,4,28,5
2026-05-08,hollister,62829258,KIC_311-6196-00395-224,,Reversible Pop Binding Triangle Bikini Top,women,Turquoise,Bikini top,nylon,Solid,2,0,1,9,4,28,1
2026-05-08,hollister,62232356,KIC_355-6714-00973-179,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Dark Grey,Trousers,denim,Solid,6,1,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-5831-00126-977,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Washed Black,Trousers,denim,Solid,1,2,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6578-00896-975,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Black,Trousers,denim,Solid,1,0,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6465-00844-977,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Washed Black,Trousers,denim,Solid,1,2,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6572-00889-278,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Medium,Trousers,denim,Solid,1,5,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6569-00902-280,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Medium,Trousers,denim,Solid,1,5,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6568-00901-280,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Light,Trousers,denim,Solid,1,3,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6577-00903-179,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Grey Wash,Trousers,denim,Solid,6,0,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6576-00897-276,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Dark,Trousers,denim,Solid,1,1,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6573-00898-280,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Light,Trousers,denim,Solid,1,3,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6571-00899-280,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Light,Trousers,denim,Solid,1,3,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6261-00850-276,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Medium,Trousers,denim,Solid,1,5,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6223-00132-278,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Medium,Trousers,denim,Solid,1,5,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6570-00895-278,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Medium,Trousers,denim,Solid,1,5,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6574-00900-280,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Light,Trousers,denim,Solid,1,3,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6575-00905-276,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Dark,Trousers,denim,Solid,1,1,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6713-00978-440,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Brown,Trousers,denim,Solid,9,0,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6831-00972-977,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Washed Black,Trousers,denim,Solid,1,2,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6751-01036-280,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Light,Trousers,denim,Solid,1,3,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6750-01037-276,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Dark,Trousers,denim,Solid,1,1,1,1,2,3,1
2026-05-08,hollister,62232356,KIC_355-6729-00984-977,,Hollister Andi Adjustable Waist Low-Rise Black Baggy Jeans,women,Washed Black,Trousers,denim,Solid,1,2,1,1,2,3,1
2026-05-08,hollister,62797907,KIC_349-6399-00339-278,,Ultra Low-Rise Jean Shortie Shorts,women,Medium,Underwear bottom,denim,Solid,0,5,1,12,5,3,1
2026-05-08,hollister,62797907,KIC_349-6187-00267-276,,Ultra Low-Rise Jean Shortie Shorts,women,Dark,Underwear bottom,denim,Solid,0,1,1,12,5,3,1
