scraped_at,retailer,style_id,cc_id,web_product_type,title,gender,color_raw,product_type_raw,material_raw,graphical_appearance_raw,color_master_id,color_spectrum_id,gender_id,product_type_id,product_group_id,material_id,graphical_appearance_id
2026-06-24,hollister,62216327,KIC_343-6019-00124-100,,2-in-1 Convertible Maxi Skirt to Midi Dress,women,White,Skirt,polyester,Solid,3,0,1,13,2,15,1
2026-06-24,hollister,62224321,KIC_355-6714-00973-179,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Dark Grey,Trousers,denim,Solid,6,1,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-5831-00126-977,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Washed Black,Trousers,denim,Solid,1,2,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6578-00896-975,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Black,Trousers,denim,Solid,1,0,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6465-00844-977,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Washed Black,Trousers,denim,Solid,1,2,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6572-00889-278,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Medium,Trousers,denim,Solid,2,5,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6569-00902-280,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Medium,Trousers,denim,Solid,2,5,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6568-00901-280,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Light,Trousers,denim,Solid,2,3,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6577-00903-179,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Grey Wash,Trousers,denim,Solid,6,0,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6571-00899-280,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Light,Trousers,denim,Solid,2,3,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6261-00850-276,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Medium,Trousers,denim,Solid,2,5,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6223-00132-278,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Medium,Trousers,denim,Solid,2,5,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6574-00900-280,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Light,Trousers,denim,Solid,2,3,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6575-00905-276,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Dark,Trousers,denim,Solid,2,1,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6713-00978-440,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Brown,Trousers,denim,Solid,9,0,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6831-00972-977,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Washed Black,Trousers,denim,Solid,1,2,1,1,2,3,1
2026-06-24,hollister,62224321,KIC_355-6729-00984-977,,Hollister Andi Adjustable Waist Low-Rise Dark Wash Baggy Jeans,women,Washed Black,Trousers,denim,Solid,1,2,1,1,2,3,1
2026-06-24,hollister,62895319,KIC_349-26000-00393-278,,Hollister Andi Adjustable Low-Rise Medium Wash Baggy Shorts,women,Medium,Shorts,cotton,Solid,2,5,1,11,2,1,1
2026-06-24,hollister,62895319,KIC_349-26011-00394-101,,Hollister Andi Adjustable Low-Rise Medium Wash Baggy Shorts,women,White,Shorts,cotton,Solid,3,0,1,11,2,1,1
2026-06-24,hollister,62276819,KIC_349-6182-00306-101,,Low-Rise White Mini Jean Shorts,women,Cloud White,Trousers,denim,Solid,3,0,1,1,2,3,1
2026-06-24,hollister,62276819,KIC_349-6392-00322-440,,Low-Rise White Mini Jean Shorts,women,Brown,Trousers,denim,Solid,9,0,1,1,2,3,1
2026-06-24,hollister,62276819,KIC_349-6922-00325-977,,Low-Rise White Mini Jean Shorts,women,Washed Black,Trousers,denim,Solid,1,2,1,1,2,3,1
2026-06-24,hollister,62276819,KIC_349-6393-00324-276,,Low-Rise White Mini Jean Shorts,women,Dark Medium,Trousers,denim,Solid,3,1,1,1,2,3,1
2026-06-24,hollister,62269821,KIC_355-6714-00973-179,,Hollister Andi Adjustable Waist Low-Rise Medium Wash Baggy Jeans,women,Dark Grey,Trousers,denim,Solid,6,1,1,1,2,3,1
2026-06-24,hollister,62269821,KIC_355-5831-00126-977,,Hollister Andi Adjustable Waist Low-Rise Medium Wash Baggy Jeans,women,Washed Black,Trousers,denim,Solid,1,2,1,1,2,3,1
2026-06-24,hollister,62269821,KIC_355-6578-00896-975,,Hollister Andi Adjustable Waist Low-Rise Medium Wash Baggy Jeans,women,Black,Trousers,denim,Solid,1,0,1,1,2,3,1
2026-06-24,hollister,62269821,KIC_355-6465-00844-977,,Hollister Andi Adjustable Waist Low-Rise Medium Wash Baggy Jeans,women,Washed Black,Trousers,denim,Solid,1,2,1,1,2,3,1
2026-06-24,hollister,62269821,KIC_355-6572-00889-278,,Hollister Andi Adjustable Waist Low-Rise Medium Wash Baggy Jeans,women,Medium,Trousers,denim,Solid,2,5,1,1,2,3,1
2026-06-24,hollister,62269821,KIC_355-6569-00902-280,,Hollister Andi Adjustable Waist Low-Rise Medium Wash Baggy Jeans,women,Medium,Trousers,denim,Solid,2,5,1,1,2,3,1
2026-06-24,hollister,62269821,KIC_355-6568-00901-280,,Hollister Andi Adjustable Waist Low-Rise Medium Wash Baggy Jeans,women,Light,Trousers,denim,Solid,2,3,1,1,2,3,1
2026-06-24,hollister,62269821,KIC_355-6577-00903-179,,Hollister Andi Adjustable Waist Low-Rise Medium Wash Baggy Jeans,women,Grey Wash,Trousers,denim,Solid,6,0,1,1,2,3,1
2026-06-24,hollister,62269821,KIC_355-6571-00899-280,,Hollister Andi Adjustable Waist Low-Rise Medium Wash Baggy Jeans,women,Light,Trousers,denim,Solid,2,3,1,1,2,3,1
