scraped_at,retailer,style_id,cc_id,web_product_type,title,gender,color_raw,product_type_raw,material_raw,graphical_appearance_raw,color_master_id,color_spectrum_id,gender_id,product_type_id,product_group_id,material_id,graphical_appearance_id
2026-06-24,uniqlo,E465760-000,465760-41,,Mini T-Shirt,women,YELLOW,T-shirt,cotton,Solid,10,0,1,4,1,1,1
2026-06-24,uniqlo,E465760-000,465760-00,,Mini T-Shirt,women,WHITE,T-shirt,cotton,Solid,3,0,1,4,1,1,1
2026-06-24,uniqlo,E465760-000,465760-03,,Mini T-Shirt,women,GRAY,T-shirt,cotton,Solid,6,0,1,4,1,1,1
2026-06-24,uniqlo,E465760-000,465760-09,,Mini T-Shirt,women,BLACK,T-shirt,cotton,Solid,1,0,1,4,1,1,1
2026-06-24,uniqlo,E465760-000,465760-37,,Mini T-Shirt,women,BROWN,T-shirt,cotton,Solid,9,0,1,4,1,1,1
2026-06-24,uniqlo,E465760-000,465760-66,,Mini T-Shirt,women,BLUE,T-shirt,cotton,Solid,2,0,1,4,1,1,1
2026-06-24,uniqlo,E465760-000,465760-69,,Mini T-Shirt,women,NAVY,T-shirt,cotton,Solid,2,0,1,4,1,1,1
2026-06-24,uniqlo,E482195-000,482195-18,,Ribbed Cropped Bra Top,women,WINE,Top,knit,Solid,7,0,1,5,1,6,1
2026-06-24,uniqlo,E482195-000,482195-00,,Ribbed Cropped Bra Top,women,WHITE,Top,knit,Solid,3,0,1,5,1,6,1
2026-06-24,uniqlo,E482195-000,482195-09,,Ribbed Cropped Bra Top,women,BLACK,Top,knit,Solid,1,0,1,5,1,6,1
2026-06-24,uniqlo,E482195-000,482195-31,,Ribbed Cropped Bra Top,women,BEIGE,Top,knit,Solid,4,0,1,5,1,6,1
2026-06-24,uniqlo,E482195-000,482195-60,,Ribbed Cropped Bra Top,women,LIGHT BLUE,Top,knit,Solid,2,3,1,5,1,6,1
2026-06-24,uniqlo,E487277-000,487277-14,,Mini T-Shirt | Striped,women,RED,T-shirt,cotton,Stripe,7,0,1,4,1,1,5
2026-06-24,uniqlo,E487277-000,487277-55,,Mini T-Shirt | Striped,women,GREEN,T-shirt,cotton,Stripe,5,0,1,4,1,1,5
