feature_type,feature_value,current,next_week,next_month,three_months,six_months
category,accessories,0.084383,0.084383,0.084383,0.084383,0.084383
category,dress,0.162276,0.162276,0.162276,0.162276,0.162276
category,outerwear,0.078197,0.078197,0.078197,0.078197,0.078197
category,pants,0.157749,0.157749,0.157749,0.157749,0.157749
category,shoes,0.064078,0.064078,0.064078,0.064078,0.064078
category,shorts,0.103582,0.103582,0.103582,0.103582,0.103582
category,skirt,0.061714,0.061714,0.061714,0.061714,0.061714
category,tops,0.249476,0.249476,0.249476,0.249476,0.249476
color,beige,0.1586,0.1586,0.1586,0.1586,0.1586
color,black,0.332618,0.332618,0.332618,0.332618,0.332618
color,blue,0.275344,0.275344,0.275344,0.275344,0.275344
color,brown,0.224721,0.224721,0.224721,0.224721,0.224721
color,gray,0.189461,0.189461,0.189461,0.189461,0.189461
color,green,0.11826,0.11826,0.11826,0.11826,0.11826
color,navy,0.274981,0.274981,0.274981,0.274981,0.274981
color,pink,0.155252,0.155252,0.155252,0.155252,0.155252
color,purple,0.070381,0.070381,0.070381,0.070381,0.070381
color,red,0.152468,0.152468,0.152468,0.152468,0.152468
color,white,0.245103,0.245103,0.245103,0.245103,0.245103
material,cotton,0.382709,0.382709,0.382709,0.382709,0.382709
material,denim,0.262607,0.262607,0.262607,0.262607,0.262607
material,knit,0.043114,0.043114,0.043114,0.043114,0.043114
material,leather,0.083441,0.083441,0.083441,0.083441,0.083441
material,linen,0.144631,0.144631,0.144631,0.144631,0.144631
material,polyester,0.111669,0.111669,0.111669,0.111669,0.111669
material,silk,0.09528,0.09528,0.09528,0.09528,0.09528
material,wool,0.094467,0.094467,0.094467,0.094467,0.094467
