feature_type,feature_value,current
category,accessories,0.05
category,dress,0.089496
category,outerwear,0.051299
category,pants,0.096824
category,shoes,0.05
category,shorts,0.05
category,skirt,0.05
category,tops,0.246058
color,beige,0.105263
color,black,0.266489
color,blue,0.248279
color,brown,0.127693
color,gray,0.150123
color,green,0.084166
color,navy,0.132134
color,pink,0.073951
color,purple,0.05
color,red,0.089052
color,white,0.217411
material,cotton,0.279369
material,denim,0.151899
material,knit,0.05
material,leather,0.05
material,linen,0.05
material,polyester,0.056185
material,silk,0.05
material,wool,0.05
