feature_type,feature_value,current
color,black,0.019643
color,white,0.021429
color,blue,0.021429
color,red,0.235714
color,green,0.021429
color,beige,0.158929
color,pink,0.019643
color,gray,0.021429
color,navy,0.05
color,brown,0.019643
color,purple,0.028571
category,pants,0.078571
category,shorts,0.001786
category,skirt,0.016071
category,dress,0.221429
category,tops,0.3375
category,outerwear,0.075
category,shoes,0.001786
category,accessories,0.0375
material,cotton,0.498214
material,denim,0.192857
material,linen,0.042857
material,silk,0.05
material,wool,0.010714
material,polyester,0.025
material,leather,0.0125
material,knit,0.075
