feature_type,feature_value,current
color,black,0.50216
color,white,0.38121
color,blue,0.763499
color,red,0.192225
color,green,0.177106
color,beige,0.160907
color,pink,0.099352
color,gray,0.090713
color,navy,0.166307
color,brown,0.220302
color,purple,0.015119
category,pants,0.174946
category,shorts,0.037797
category,skirt,0.008639
category,dress,0.196544
category,tops,0.424406
category,outerwear,0.12851
category,shoes,0.00108
category,accessories,0.015119
material,cotton,0.424406
material,denim,0.326134
material,linen,0.139309
material,silk,0.00432
material,wool,0.021598
material,polyester,0.042117
material,leather,0.006479
material,knit,0.031317
