feature_type,feature_value,current,next_week,next_month,three_months,six_months
color,black,0.377143,0.377143,0.377143,0.377143,0.377143
color,white,0.225714,0.225714,0.225714,0.225714,0.225714
color,blue,0.227143,0.227143,0.227143,0.227143,0.227143
color,red,0.274286,0.274286,0.274286,0.274286,0.274286
color,green,0.24,0.24,0.24,0.24,0.24
color,beige,0.23,0.23,0.23,0.23,0.23
color,pink,0.261429,0.261429,0.261429,0.261429,0.261429
color,gray,0.274286,0.274286,0.274286,0.274286,0.274286
color,navy,0.477143,0.477143,0.477143,0.477143,0.477143
color,brown,0.418571,0.418571,0.418571,0.418571,0.418571
color,purple,0.28,0.28,0.28,0.28,0.28
category,pants,0.272857,0.272857,0.272857,0.272857,0.272857
category,shorts,0.244286,0.244286,0.244286,0.244286,0.244286
category,skirt,0.262857,0.262857,0.262857,0.262857,0.262857
category,dress,0.252857,0.252857,0.252857,0.252857,0.252857
category,tops,0.088571,0.088571,0.088571,0.088571,0.088571
category,outerwear,0.104286,0.104286,0.104286,0.104286,0.104286
category,shoes,0.245714,0.245714,0.245714,0.245714,0.245714
category,accessories,0.21,0.21,0.21,0.21,0.21
material,cotton,0.462857,0.462857,0.462857,0.462857,0.462857
material,denim,0.457143,0.457143,0.457143,0.457143,0.457143
material,linen,0.492857,0.492857,0.492857,0.492857,0.492857
material,silk,0.367143,0.367143,0.367143,0.367143,0.367143
material,wool,0.377143,0.377143,0.377143,0.377143,0.377143
material,polyester,0.36,0.36,0.36,0.36,0.36
material,leather,0.297143,0.297143,0.297143,0.297143,0.297143
material,knit,0.0,0.0,0.0,0.0,0.0
