feature_type,feature_value,current
color,black,0.687307
color,white,0.591331
color,blue,0.286378
color,red,0.024768
color,green,0.105263
color,beige,0.156347
color,pink,0.270898
color,gray,0.555728
color,navy,0.424149
color,brown,0.386997
color,purple,0.009288
category,pants,0.156347
category,shorts,0.173375
category,skirt,0.006192
category,dress,0.095975
category,tops,0.413313
category,outerwear,0.083591
category,shoes,0.004644
category,accessories,0.004644
material,cotton,0.547988
material,denim,0.243034
material,linen,0.00774
material,silk,0.004644
material,wool,0.052632
material,polyester,0.051084
material,leather,0.017028
material,knit,0.032508
