feature_type,feature_value,current
color,black,0.118094
color,white,0.097849
color,blue,0.090257
color,red,0.031632
color,green,0.056938
color,beige,0.056938
color,pink,0.023197
color,gray,0.09321
color,navy,0.070434
color,brown,0.046394
color,purple,0.012653
category,pants,0.054407
category,shorts,0.018979
category,skirt,0.011809
category,dress,0.014762
category,tops,0.109237
category,outerwear,0.006748
category,shoes,0.05
category,accessories,0.05
material,cotton,0.097849
material,denim,0.049346
material,linen,0.013075
material,silk,0.001265
material,wool,0.004218
material,polyester,0.070434
material,leather,0.05
material,knit,0.027836
